accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
eyk_001,male,pxc001,666,0.9712049606684092,0.9766117036342621,0.8779400587081909,0.9968963265419006,0.017987256911546547
eyk_001,male,rmn002,78,0.9841548212063618,0.9855315983295441,0.953362226486206,0.9954550862312317,0.007941790838191739
eyk_001,male,sph001,171,0.9810540338008724,0.9815587997436523,0.9602605104446411,0.9933176040649414,0.00660512770614187
eyk_001,male,txb001,990,0.9804245288323874,0.9829232394695282,0.9249115586280823,0.9974560737609863,0.010899333391525122
gla_001,female,aud001,435,0.9752354113534949,0.9761748313903809,0.9464285373687744,0.9959673881530762,0.009303445274578662
gla_001,female,fmb001,91,0.9821768841900669,0.9832760095596313,0.9612812399864197,0.9962040185928345,0.0069873880463496435
gla_001,female,jec001,171,0.9809917396272135,0.9828830361366272,0.942018985748291,0.9952815175056458,0.009026816307244749
gla_001,female,joh001,171,0.9796721426367062,0.9797877669334412,0.956017017364502,0.9958600997924805,0.007713481571033745
gla_001,female,kam001,276,0.976417374783668,0.9787968099117279,0.9347356557846069,0.9950066804885864,0.011069966272998995
gla_001,female,lea001,210,0.9738349914550781,0.9762332737445831,0.9375666379928589,0.9938788414001465,0.012335204327844261
gla_001,female,lna001,190,0.9744814885290045,0.9772433638572693,0.935239315032959,0.9956518411636353,0.013438673352226612
gla_001,female,lxd001,120,0.9830969005823136,0.9847567677497864,0.9534561038017273,0.9958214163780212,0.008275899184299475
gla_001,female,mad001,171,0.9811251076341373,0.9821906685829163,0.9583010673522949,0.9936329126358032,0.007110733104177336
gla_001,female,ses001,528,0.9722004570066929,0.9747900068759918,0.9137769937515259,0.9958850145339966,0.012867863016498135
gla_001,male,gty001,153,0.9772618958373475,0.9810171127319336,0.9266901612281799,0.9951763153076172,0.012719921963274703
gla_001,male,iwd001,66,0.9845448822686167,0.9855917692184448,0.9678711891174316,0.9931038618087769,0.005685409994301863
gla_001,male,jmc002,741,0.9574450572975252,0.9615809917449951,0.8602697253227234,0.9951844811439514,0.021489459946611188
gla_001,male,ljg001,171,0.9792542680662278,0.9810887575149536,0.933101236820221,0.9944012761116028,0.009181821985892189
gla_001,male,rac001,561,0.9717070137328218,0.9757846593856812,0.8891175985336304,0.995491623878479,0.015416208397694236
gla_001,male,sgd001,210,0.9694798563207899,0.9716697335243225,0.9264521598815918,0.995158851146698,0.013111718838463671
gla_001,male,sxm001,190,0.9774517975355449,0.9790686964988708,0.9422565698623657,0.9961693286895752,0.01103189378283703
gla_001,male,wht001,325,0.9724641352433425,0.9744672179222107,0.9212304353713989,0.9958502054214478,0.012124276405803568
gla_001,male,wnh001,378,0.9639295798445505,0.967670738697052,0.8849033713340759,0.9927706122398376,0.018238622346809473
